metric,factor,group1,group2,mean_diff,p_adj,ci_lower,ci_upper,significant
context_precision,chunking_strategy,fixed_128,fixed_256,0.0664,0.0007,0.0198,0.1129,True
context_precision,chunking_strategy,fixed_128,fixed_512,0.1324,0.0,0.0859,0.179,True
context_precision,chunking_strategy,fixed_128,semantic_128,0.0114,0.9823,-0.0352,0.0579,False
context_precision,chunking_strategy,fixed_128,semantic_256,0.0647,0.001,0.0182,0.1113,True
context_precision,chunking_strategy,fixed_128,semantic_512,0.1173,0.0,0.0684,0.1662,True
context_precision,chunking_strategy,fixed_256,fixed_512,0.0661,0.0007,0.0195,0.1126,True
context_precision,chunking_strategy,fixed_256,semantic_128,-0.055,0.0099,-0.1015,-0.0084,True
context_precision,chunking_strategy,fixed_256,semantic_256,-0.0016,1.0,-0.0481,0.0449,False
context_precision,chunking_strategy,fixed_256,semantic_512,0.0509,0.0354,0.002,0.0998,True
context_precision,chunking_strategy,fixed_512,semantic_128,-0.121,0.0,-0.1675,-0.0745,True
context_precision,chunking_strategy,fixed_512,semantic_256,-0.0677,0.0005,-0.1142,-0.0211,True
context_precision,chunking_strategy,fixed_512,semantic_512,-0.0151,0.951,-0.064,0.0338,False
context_precision,chunking_strategy,semantic_128,semantic_256,0.0534,0.0138,0.0068,0.0999,True
context_precision,chunking_strategy,semantic_128,semantic_512,0.1059,0.0,0.057,0.1548,True
context_precision,chunking_strategy,semantic_256,semantic_512,0.0525,0.0267,0.0037,0.1014,True
context_precision,query_type,comparative,multi-hop,0.0025,0.9995,-0.0555,0.0605,False
context_precision,query_type,comparative,single-hop,0.078,0.0006,0.0266,0.1294,True
context_precision,query_type,comparative,unanswerable,-0.3723,0.0,-0.4325,-0.3121,True
context_precision,query_type,multi-hop,single-hop,0.0755,0.0,0.042,0.109,True
context_precision,query_type,multi-hop,unanswerable,-0.3748,0.0,-0.4206,-0.3289,True
context_precision,query_type,single-hop,unanswerable,-0.4503,0.0,-0.4874,-0.4131,True
context_precision,domain,finance,general,0.0912,0.0,0.0674,0.1151,True
context_precision,domain,finance,medical,0.4875,0.0,0.4621,0.5129,True
context_precision,domain,general,medical,0.3962,0.0,0.3725,0.42,True
context_recall,chunking_strategy,fixed_128,fixed_256,0.0477,0.1351,-0.0075,0.1028,False
context_recall,chunking_strategy,fixed_128,fixed_512,0.0589,0.0285,0.0037,0.114,True
context_recall,chunking_strategy,fixed_128,semantic_128,-0.0246,0.8002,-0.0798,0.0305,False
context_recall,chunking_strategy,fixed_128,semantic_256,0.0427,0.234,-0.0124,0.0979,False
context_recall,chunking_strategy,fixed_128,semantic_512,0.1085,0.0,0.0502,0.1668,True
context_recall,chunking_strategy,fixed_256,fixed_512,0.0112,0.9924,-0.044,0.0664,False
context_recall,chunking_strategy,fixed_256,semantic_128,-0.0723,0.0026,-0.1274,-0.0171,True
context_recall,chunking_strategy,fixed_256,semantic_256,-0.0049,0.9999,-0.0601,0.0503,False
context_recall,chunking_strategy,fixed_256,semantic_512,0.0608,0.0352,0.0025,0.1191,True
context_recall,chunking_strategy,fixed_512,semantic_128,-0.0835,0.0002,-0.1386,-0.0283,True
context_recall,chunking_strategy,fixed_512,semantic_256,-0.0161,0.9615,-0.0713,0.0391,False
context_recall,chunking_strategy,fixed_512,semantic_512,0.0496,0.1479,-0.0087,0.1079,False
context_recall,chunking_strategy,semantic_128,semantic_256,0.0674,0.0067,0.0122,0.1226,True
context_recall,chunking_strategy,semantic_128,semantic_512,0.1331,0.0,0.0748,0.1914,True
context_recall,chunking_strategy,semantic_256,semantic_512,0.0657,0.0167,0.0074,0.1241,True
context_recall,query_type,comparative,multi-hop,0.1701,0.0,0.1098,0.2305,True
context_recall,query_type,comparative,single-hop,-0.166,0.0,-0.2194,-0.1125,True
context_recall,query_type,multi-hop,single-hop,-0.3361,0.0,-0.371,-0.3013,True
context_recall,domain,finance,general,0.6858,0.0,0.6602,0.7113,True
context_recall,domain,finance,medical,0.5423,0.0,0.5173,0.5674,True
context_recall,domain,general,medical,-0.1435,0.0,-0.1689,-0.118,True
faithfulness,chunking_strategy,fixed_128,fixed_256,0.0368,0.0088,0.006,0.0676,True
faithfulness,chunking_strategy,fixed_128,fixed_512,0.052,0.0,0.0213,0.0828,True
faithfulness,chunking_strategy,fixed_128,semantic_128,0.0163,0.6605,-0.0145,0.0471,False
faithfulness,chunking_strategy,fixed_128,semantic_256,0.0387,0.0045,0.008,0.0695,True
faithfulness,chunking_strategy,fixed_128,semantic_512,0.0476,0.0004,0.0153,0.08,True
faithfulness,chunking_strategy,fixed_256,fixed_512,0.0153,0.7179,-0.0155,0.0461,False
faithfulness,chunking_strategy,fixed_256,semantic_128,-0.0205,0.4036,-0.0513,0.0103,False
faithfulness,chunking_strategy,fixed_256,semantic_256,0.002,1.0,-0.0288,0.0328,False
faithfulness,chunking_strategy,fixed_256,semantic_512,0.0109,0.9313,-0.0215,0.0432,False
faithfulness,chunking_strategy,fixed_512,semantic_128,-0.0358,0.0119,-0.0665,-0.005,True
faithfulness,chunking_strategy,fixed_512,semantic_256,-0.0133,0.8207,-0.0441,0.0175,False
faithfulness,chunking_strategy,fixed_512,semantic_512,-0.0044,0.9988,-0.0367,0.0279,False
faithfulness,chunking_strategy,semantic_128,semantic_256,0.0225,0.2966,-0.0083,0.0532,False
faithfulness,chunking_strategy,semantic_128,semantic_512,0.0313,0.0633,-0.001,0.0637,False
faithfulness,chunking_strategy,semantic_256,semantic_512,0.0089,0.9704,-0.0234,0.0412,False
faithfulness,query_type,comparative,multi-hop,-0.0744,0.0,-0.1148,-0.0341,True
faithfulness,query_type,comparative,single-hop,-0.1136,0.0,-0.1493,-0.0778,True
faithfulness,query_type,comparative,unanswerable,-0.096,0.0,-0.1378,-0.0541,True
faithfulness,query_type,multi-hop,single-hop,-0.0391,0.0001,-0.0624,-0.0158,True
faithfulness,query_type,multi-hop,unanswerable,-0.0215,0.306,-0.0534,0.0104,False
faithfulness,query_type,single-hop,unanswerable,0.0176,0.2973,-0.0082,0.0434,False
faithfulness,domain,finance,general,0.1306,0.0,0.113,0.1482,True
faithfulness,domain,finance,medical,0.0873,0.0,0.0686,0.1061,True
faithfulness,domain,general,medical,-0.0433,0.0,-0.0609,-0.0257,True
answer_correctness,chunking_strategy,fixed_128,fixed_256,0.0336,0.1354,-0.0053,0.0725,False
answer_correctness,chunking_strategy,fixed_128,fixed_512,0.0625,0.0001,0.0236,0.1014,True
answer_correctness,chunking_strategy,fixed_128,semantic_128,0.0098,0.9796,-0.0291,0.0487,False
answer_correctness,chunking_strategy,fixed_128,semantic_256,0.0498,0.0036,0.0109,0.0887,True
answer_correctness,chunking_strategy,fixed_128,semantic_512,0.0676,0.0,0.0268,0.1085,True
answer_correctness,chunking_strategy,fixed_256,fixed_512,0.0289,0.2798,-0.01,0.0678,False
answer_correctness,chunking_strategy,fixed_256,semantic_128,-0.0238,0.5026,-0.0627,0.0151,False
answer_correctness,chunking_strategy,fixed_256,semantic_256,0.0162,0.8434,-0.0227,0.0551,False
answer_correctness,chunking_strategy,fixed_256,semantic_512,0.034,0.1663,-0.0069,0.0749,False
answer_correctness,chunking_strategy,fixed_512,semantic_128,-0.0527,0.0016,-0.0916,-0.0138,True
answer_correctness,chunking_strategy,fixed_512,semantic_256,-0.0127,0.9395,-0.0516,0.0263,False
answer_correctness,chunking_strategy,fixed_512,semantic_512,0.0051,0.9992,-0.0357,0.046,False
answer_correctness,chunking_strategy,semantic_128,semantic_256,0.04,0.0397,0.0011,0.0789,True
answer_correctness,chunking_strategy,semantic_128,semantic_512,0.0578,0.0008,0.0169,0.0987,True
answer_correctness,chunking_strategy,semantic_256,semantic_512,0.0178,0.8162,-0.0231,0.0587,False
answer_correctness,query_type,comparative,multi-hop,-0.2361,0.0,-0.2868,-0.1854,True
answer_correctness,query_type,comparative,single-hop,-0.1571,0.0,-0.202,-0.1122,True
answer_correctness,query_type,comparative,unanswerable,-0.2539,0.0,-0.3065,-0.2013,True
answer_correctness,query_type,multi-hop,single-hop,0.0789,0.0,0.0497,0.1082,True
answer_correctness,query_type,multi-hop,unanswerable,-0.0178,0.6636,-0.0579,0.0223,False
answer_correctness,query_type,single-hop,unanswerable,-0.0967,0.0,-0.1292,-0.0643,True
answer_correctness,domain,finance,general,0.0684,0.0,0.0458,0.0909,True
answer_correctness,domain,finance,medical,0.1146,0.0,0.0907,0.1386,True
answer_correctness,domain,general,medical,0.0463,0.0,0.0238,0.0688,True
llm_as_judge,chunking_strategy,fixed_128,fixed_256,0.0418,0.049,0.0001,0.0835,True
llm_as_judge,chunking_strategy,fixed_128,fixed_512,0.0418,0.049,0.0001,0.0835,True
llm_as_judge,chunking_strategy,fixed_128,semantic_128,0.0427,0.0456,0.0005,0.085,True
llm_as_judge,chunking_strategy,fixed_128,semantic_256,0.0559,0.0027,0.0132,0.0987,True
llm_as_judge,chunking_strategy,fixed_128,semantic_512,0.0542,0.0041,0.0114,0.0969,True
llm_as_judge,chunking_strategy,fixed_256,fixed_512,0.0,1.0,-0.0417,0.0417,False
llm_as_judge,chunking_strategy,fixed_256,semantic_128,0.0009,1.0,-0.0413,0.0431,False
llm_as_judge,chunking_strategy,fixed_256,semantic_256,0.0141,0.9358,-0.0286,0.0569,False
llm_as_judge,chunking_strategy,fixed_256,semantic_512,0.0124,0.9631,-0.0304,0.0551,False
llm_as_judge,chunking_strategy,fixed_512,semantic_128,0.0009,1.0,-0.0413,0.0431,False
llm_as_judge,chunking_strategy,fixed_512,semantic_256,0.0141,0.9358,-0.0286,0.0569,False
llm_as_judge,chunking_strategy,fixed_512,semantic_512,0.0124,0.9631,-0.0304,0.0551,False
llm_as_judge,chunking_strategy,semantic_128,semantic_256,0.0132,0.9535,-0.03,0.0565,False
llm_as_judge,chunking_strategy,semantic_128,semantic_512,0.0115,0.9748,-0.0318,0.0547,False
llm_as_judge,chunking_strategy,semantic_256,semantic_512,-0.0018,1.0,-0.0455,0.042,False
llm_as_judge,query_type,comparative,multi-hop,-0.0712,0.0015,-0.1214,-0.021,True
llm_as_judge,query_type,comparative,single-hop,-0.1479,0.0,-0.1929,-0.1029,True
llm_as_judge,query_type,comparative,unanswerable,-0.1258,0.0,-0.1779,-0.0737,True
llm_as_judge,query_type,multi-hop,single-hop,-0.0767,0.0,-0.1065,-0.047,True
llm_as_judge,query_type,multi-hop,unanswerable,-0.0546,0.0023,-0.0943,-0.0149,True
llm_as_judge,query_type,single-hop,unanswerable,0.0221,0.3074,-0.0107,0.0549,False
llm_as_judge,domain,finance,general,0.2574,0.0,0.2342,0.2807,True
llm_as_judge,domain,finance,medical,0.2713,0.0,0.2451,0.2976,True
llm_as_judge,domain,general,medical,0.0139,0.3336,-0.0091,0.037,False
